airline,total_incidents,total_fatalities,years_active,fatal_events,avg_damage,last_incident,recency_factor,incident_rate,fatality_rate,fatal_ratio,weighted_rate,norm_weighted_rate,norm_fatality_rate,norm_fatal_ratio,norm_avg_damage,penalty,safety_score,risk_label
Heussler Air Service Corp,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Hiller Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Agri Fly Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Burlington Airways Inc,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Aeronaves Borinquena Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Princeton Airways Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Damschroder Sales Co Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Continental Aviation Services Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Elwood Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Triple D Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Marion Ray E,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Ewing Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Trans National Airlines Ltd,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Ayers Corp,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Action Jetranger Helicopters,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Jet America International Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Tri State Helicopters,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Antoine Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Pinehurst Airlines Inc,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Bohn Air Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Cochise Airlines Inc,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Key Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Bobs,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Maier Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Oliver Helicopters And Engineering,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Aero Rampart Corp,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Coffeyville Air Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Ocean Aviation,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Laynes Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Northwest Territorial Airways,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Colonial Airlines,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Viasa,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
M T Associates Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Avia Jet Management Corp,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Nordair Ltd,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Crop Care Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
